Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:km,Short name:en,Short name:km,Description:en,Description:km,Data class,Data type,Complex data handler,Answers,Members,_version:1,_order:1100
b030dd00-d75a-47c0-8bac-4fc2bdfa6b21,,,"Endocrine diseases, metabolic, Blood, and immune disorder",,"Endocrine diseases, metabolic, Blood, and immune disorder",,"Endocrine diseases, metabolic, Blood, and immune disorder",,Misc,N/A,,,,,
4af19b5d-cd2a-4c26-8935-0d7155b5efb1,,,Heart Attack,,Heart Attack,,Heart Attack,,Misc,N/A,,,,,
99d6a401-9617-4d60-9140-e11fb90dad85,,,Respiratory Distress,,Respiratory Distress,,Respiratory Distress,,Misc,N/A,,,,,
be826e02-735f-45c4-93e7-f33db1098193,,,Pollution,,Pollution,,Pollution,,Misc,N/A,,,,,
79638278-b88c-4d52-a968-b121384469f6,,,Air Pullution,,Air Pullution,,Air Pullution,,Misc,N/A,,,,,
c560c511-5ac7-4e6e-a5c8-f79281cd4564,,,Uses of Nervous system drugs,,Uses of Nervous system drugs,,Uses of Nervous system drugs,,Misc,N/A,,,,,
c2321fa3-974c-40f1-a9aa-bae00e7f5e09,,,Smoking,,Smoking,,Smoking,,Misc,N/A,,,,,
ad0d3df4-2208-426c-a132-09c31cf9622e,,,Alcohol disorder,,Alcohol disorder,,Alcohol disorder,,Misc,N/A,,,,,
71273563-a3a5-45ab-b169-8aec46a8a065,,,Non-optimal ambient temperatures,,Non-optimal ambient temperatures,,Non-optimal ambient temperatures,,Misc,N/A,,,,,
8fabcba9-0759-48c2-819d-b98ea2ef5f50,,,Antimicrobial Resistance,,Antimicrobial Resistance,,Antimicrobial Resistance,,Misc,N/A,,,,,
d57bb5e4-6726-4648-8889-9bfdd5a87d7b,,,"Comorbidities , general health , social factors and infection",,"Comorbidities , general health , social factors and infection",,"Comorbidities , general health , social factors and infection",,Misc,N/A,,,,,
eb308d9a-e30f-46a6-8a99-6c2270d822ab,,,Renal failure,,Renal failure,,Renal failure,,Misc,N/A,,,,,
2696f596-d646-44ff-8996-215261862a1b,,,Septicemia,,Septicemia,,Septicemia,,Misc,N/A,,,,,
71d07085-451f-4093-bc50-8ccf0ad090ed,,,Influenza and pneumonia,,Influenza and pneumonia,,Influenza and pneumonia,,Misc,N/A,,,,,
0e0552ff-f379-49c3-8781-e2ae949ac2b8,,,Motor vehicle accidents,,Motor vehicle accidents,,Motor vehicle accidents,,Misc,N/A,,,,,
9404ca3a-79f3-4b00-a5e0-5ca7724e2842,,,Circulatory system disease,,Circulatory system disease,,Circulatory system disease,,Misc,N/A,,,,,
6a1f6d71-facd-4a58-8e65-656b6a3bb07a,,,Organ injury,,Organ injury,,Organ injury,,Misc,N/A,,,,,
8fb82cf9-eacf-4225-bf0a-15297dc22b48,,,Malignant Neoplasms,,Malignant Neoplasms,,Malignant Neoplasms,,Misc,N/A,,,,,
e02fa4d2-14d1-4f49-89dd-24919a8ba480,,,Congenital heart failure,,Congenital heart failure,,Congenital heart failure,,Misc,N/A,,,,,
f76942a9-5384-491e-8c87-e80ccf5426b1,,,Cerebro-Vascular,,Cerebro-Vascular,,Cerebro-Vascular,,Misc,N/A,,,,,
eadf37c3-eedb-4f9d-834a-a36ae403bb28,,,Substance abuse,,Substance abuse,,Substance abuse,,Misc,N/A,,,,,
5caf6915-6439-4216-919f-8ab772981d67,,,Neurological Disorder,,Neurological Disorder,,Neurological Disorder,,Misc,N/A,,,,,
516373b4-6bd8-47a4-87f1-dc77fb91c9ff,,,Multidrug-resistant tuberculosis without extensive drug resistance,,Multidrug-resistant tuberculosis without extensive drug resistance,,Multidrug-resistant tuberculosis without extensive drug resistance,,Misc,N/A,,,,,
93d1a073-adac-48fb-912e-5b47d0fea65f,,,Sexually transmitted infection,,Sexually transmitted infection,,Sexually transmitted infection,,Misc,N/A,,,,,
8fb2d402-7483-4a54-96df-081f6b098496,,,Dengues fever,,Dengue fever,,Dengue fever,,Misc,N/A,,,,,
